15, 'FUEGO', 'DL', 1, 'AXEL BLAZE', 93;
18, 'MONTANIA', 'DL', 1, 'CLARIO ORVAN', 92;
19, 'BOSQUE', 'DL', 1, 'HAIZAKI RYOUHEI', 91;
20, 'AIRE', 'DL', 1, 'MAXWELL CARSON', 81;
29, 'BOSQUE', 'DL', 2, 'KEVIN DRAGONFLY', 88;
33, 'AIRE', 'DL', 2, 'SHAWN FROSTE', 93;
35, 'FUEGO', 'DL', 2, 'XENE', 92;
37, 'BOSQUE', 'DL', 3, 'AUSTIN HOBBES', 91;
40, 'MONTANIA', 'DL', 3, 'DESTRA', 90;
41, 'AIRE', 'DL', 3, 'BRYCE WITHINGALE', 91;
47, 'FUEGO', 'DL', 3, 'CLAUDE BEACONS', 91;
50, 'AIRE', 'DL', 4, 'BAI LONG', 93;
54, 'MONTANIA', 'DL', 4, 'REX REMINGTON', 86;
57, 'BOSQUE', 'DL', 4, 'TEZCAT', 92;
58, 'FUEGO', 'DL', 4, 'VICTOR BLADE', 93;
61, 'BETA', 'DL', 5, 'BETA', 89;
65, 'BOSQUE', 'DL', 5, 'GAMMA', 89;
68, 'MONTANIA', 'DL', 5, 'SIMEON AYP', 92;
71, 'FUEGO', 'DL', 5, 'WOLFRAM VULPEEN', 90;
72, 'FUEGO', 'DL', 6, 'BALA', 90;
76, 'AIRE', 'DL', 6, 'FALCO FLASHMAN', 90;
78, 'BOSQUE', 'DL', 6, 'GANDARES', 90;
82, 'MONTANIA', 'DL', 6, 'ZANARK AVALONIC', 93;
